#10.0eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
1.76E+02,1.42E-13
1.76E+02,1.38E-13
1.76E+02,1.34E-13
1.76E+02,1.30E-13
1.77E+02,1.25E-13
1.77E+02,1.20E-13
1.77E+02,1.15E-13
1.77E+02,1.09E-13
1.77E+02,1.03E-13
1.77E+02,9.66E-14
1.77E+02,9.11E-14
1.77E+02,8.65E-14
1.77E+02,8.29E-14
1.77E+02,8.05E-14
1.78E+02,7.93E-14
1.78E+02,7.94E-14
1.78E+02,8.10E-14
1.78E+02,8.40E-14
1.78E+02,8.84E-14
1.78E+02,9.40E-14
1.78E+02,9.99E-14
1.78E+02,1.05E-13
1.78E+02,1.07E-13
1.78E+02,1.04E-13
1.78E+02,9.64E-14
1.78E+02,8.45E-14
1.78E+02,7.12E-14
1.78E+02,5.86E-14
1.79E+02,4.79E-14
1.79E+02,3.93E-14
1.79E+02,3.26E-14
1.79E+02,2.75E-14
1.79E+02,2.35E-14
1.79E+02,2.05E-14
1.79E+02,1.81E-14
1.79E+02,1.63E-14
1.79E+02,1.49E-14
1.79E+02,1.38E-14
1.79E+02,1.29E-14
1.79E+02,1.23E-14
1.79E+02,1.19E-14
1.79E+02,1.16E-14
1.79E+02,1.14E-14
1.79E+02,1.14E-14
1.79E+02,1.14E-14
1.79E+02,1.16E-14
1.80E+02,1.19E-14
1.80E+02,1.23E-14
1.80E+02,1.28E-14
1.80E+02,1.35E-14
1.80E+02,1.43E-14
1.80E+02,1.53E-14
1.80E+02,1.65E-14
1.80E+02,1.79E-14
1.80E+02,1.97E-14
1.80E+02,2.18E-14
1.80E+02,2.43E-14
1.80E+02,2.75E-14
1.80E+02,3.14E-14
1.80E+02,3.63E-14
1.80E+02,4.25E-14
1.80E+02,5.05E-14
1.80E+02,6.12E-14
1.80E+02,7.59E-14
1.80E+02,9.65E-14
1.80E+02,1.27E-13
1.80E+02,1.75E-13
1.80E+02,2.56E-13
1.80E+02,4.11E-13
1.80E+02,7.63E-13
1.80E+02,1.87E-12
1.80E+02,9.87E-12

