# Gacesa et al., doi:10.5281/zenodo.3256699. Raw CSs_3pes, even j for 12C16O2 v=0.
# Includes elastic diagonals; independent variable is MOLSCAT total energy.
total_energy_eV,ji,jf,sigma_cm2
0.0297562073744,16,24,3.866060000000e-17
0.0297562073744,18,0,1.193330000000e-17
0.0297562073744,18,2,7.402337000000e-17
0.0297562073744,18,4,1.555549000000e-16
0.0297562073744,18,6,2.001573000000e-16
0.0297562073744,18,8,3.105887000000e-16
0.0297562073744,18,10,3.959553000000e-16
0.0297562073744,18,12,4.396183000000e-16
0.0297562073744,18,14,4.861043000000e-16
0.0297562073744,18,16,6.384877000000e-16
0.0297562073744,18,18,2.132573000000e-14
0.0297562073744,18,20,4.515213000000e-16
0.0297562073744,18,22,2.300102000000e-16
0.0297562073744,18,24,4.194450000000e-17
0.0297562073744,20,0,1.323794000000e-17
0.0297562073744,20,2,5.974217000000e-17
0.0297562073744,20,4,1.185534000000e-16
0.0297562073744,20,6,1.989209000000e-16
0.0297562073744,20,8,2.731567000000e-16
0.0297562073744,20,10,3.764093000000e-16
0.0297562073744,20,12,4.218077000000e-16
0.0297562073744,20,14,4.628203000000e-16
0.0297562073744,20,16,4.857227000000e-16
0.0297562073744,20,18,5.704143000000e-16
0.0297562073744,20,20,2.122060000000e-14
0.0297562073744,20,22,3.353533000000e-16
0.0297562073744,20,24,5.315897000000e-17
0.0297562073744,22,0,1.129258000000e-17
0.0297562073744,22,2,4.830450000000e-17
0.0297562073744,22,4,1.251650000000e-16
0.0297562073744,22,6,2.044960000000e-16
0.0297562073744,22,8,2.745239000000e-16
0.0297562073744,22,10,3.580979000000e-16
0.0297562073744,22,12,4.230095000000e-16
0.0297562073744,22,14,3.725555000000e-16
0.0297562073744,22,16,4.600823000000e-16
0.0297562073744,22,18,4.735273000000e-16
0.0297562073744,22,20,5.464973000000e-16
0.0297562073744,22,22,2.305407000000e-14
0.0297562073744,22,24,1.252476000000e-16
0.0297562073744,24,0,2.583527000000e-17
0.0297562073744,24,2,1.322575000000e-16
0.0297562073744,24,4,2.977772000000e-16
0.0297562073744,24,6,4.564502000000e-16
0.0297562073744,24,8,4.721230000000e-16
0.0297562073744,24,10,7.824788000000e-16
0.0297562073744,24,12,5.228469000000e-16
0.0297562073744,24,14,7.097809000000e-16
0.0297562073744,24,16,5.933546000000e-16
0.0297562073744,24,18,5.745032000000e-16
0.0297562073744,24,20,5.763447000000e-16
0.0297562073744,24,22,8.332788000000e-16
0.153740404768,0,0,2.188513000000e-14
0.153740404768,0,2,2.532750000000e-15
0.153740404768,0,4,9.307890000000e-16
0.153740404768,0,6,6.424707000000e-16
0.153740404768,0,8,4.799077000000e-16
0.153740404768,0,10,3.093547000000e-16
0.153740404768,0,12,2.700963000000e-16
0.153740404768,0,14,2.609697000000e-16
0.153740404768,0,16,2.100680000000e-16
0.153740404768,0,18,1.988330000000e-16
0.153740404768,0,20,1.838243000000e-16
0.153740404768,0,22,1.581467000000e-16
0.153740404768,0,24,1.563983000000e-16
0.153740404768,0,26,1.419733000000e-16
0.153740404768,0,28,1.050888000000e-16
0.153740404768,0,30,1.191620000000e-16
0.153740404768,0,32,1.100102000000e-16
0.153740404768,0,34,8.225767000000e-17
0.153740404768,0,36,6.470840000000e-17
0.153740404768,0,38,6.614690000000e-17
0.153740404768,0,40,6.363957000000e-17
0.153740404768,0,42,4.973917000000e-17
0.153740404768,0,44,4.084267000000e-17
0.153740404768,0,46,3.762007000000e-17
0.153740404768,0,48,2.821670000000e-17
0.153740404768,0,50,1.909696000000e-17
0.153740404768,0,52,1.483380000000e-17
0.153740404768,0,54,1.113882000000e-17
0.153740404768,2,0,5.075080000000e-16
0.153740404768,2,2,2.294833000000e-14
0.153740404768,2,4,1.748480000000e-15
0.153740404768,2,6,7.826890000000e-16
0.153740404768,2,8,5.163447000000e-16
0.153740404768,2,10,3.773763000000e-16
0.153740404768,2,12,2.782720000000e-16
0.153740404768,2,14,2.494763000000e-16
0.153740404768,2,16,2.248347000000e-16
0.153740404768,2,18,1.883690000000e-16
0.153740404768,2,20,1.748150000000e-16
0.153740404768,2,22,1.637113000000e-16
0.153740404768,2,24,1.472117000000e-16
0.153740404768,2,26,1.310210000000e-16
0.153740404768,2,28,1.163097000000e-16
0.153740404768,2,30,1.025850000000e-16
0.153740404768,2,32,9.103960000000e-17
0.153740404768,2,34,8.307220000000e-17
0.153740404768,2,36,7.562657000000e-17
0.153740404768,2,38,6.396130000000e-17
0.153740404768,2,40,5.631953000000e-17
0.153740404768,2,42,5.102077000000e-17
0.153740404768,2,44,4.569957000000e-17
0.153740404768,2,46,3.622713000000e-17
0.153740404768,2,48,2.627933000000e-17
0.153740404768,2,50,1.979507000000e-17
0.153740404768,2,52,1.590585000000e-17
0.153740404768,2,54,1.112379000000e-17
0.153740404768,4,0,1.040760000000e-16
0.153740404768,4,2,9.756823000000e-16
0.153740404768,4,4,2.307400000000e-14
0.153740404768,4,6,1.518937000000e-15
0.153740404768,4,8,6.693933000000e-16
0.153740404768,4,10,4.702700000000e-16
0.153740404768,4,12,3.439413000000e-16
0.153740404768,4,14,2.663267000000e-16
0.153740404768,4,16,2.307903000000e-16
0.153740404768,4,18,2.020283000000e-16
0.153740404768,4,20,1.798530000000e-16
0.153740404768,4,22,1.622013000000e-16
0.153740404768,4,24,1.427470000000e-16
0.153740404768,4,26,1.291130000000e-16
0.153740404768,4,28,1.217403000000e-16
0.153740404768,4,30,1.083333000000e-16
0.153740404768,4,32,9.074300000000e-17
0.153740404768,4,34,8.273500000000e-17
0.153740404768,4,36,7.571533000000e-17
0.153740404768,4,38,6.585110000000e-17
0.153740404768,4,40,5.747120000000e-17
0.153740404768,4,42,5.313267000000e-17
0.153740404768,4,44,4.696900000000e-17
0.153740404768,4,46,3.657433000000e-17
0.153740404768,4,48,2.630593000000e-17
0.153740404768,4,50,2.043221000000e-17
0.153740404768,4,52,1.641360000000e-17
0.153740404768,4,54,1.159533000000e-17
0.153740404768,6,0,5.008277000000e-17
0.153740404768,6,2,3.044903000000e-16
0.153740404768,6,4,1.058950000000e-15
0.153740404768,6,6,2.314547000000e-14
0.153740404768,6,8,1.426491000000e-15
0.153740404768,6,10,6.154190000000e-16
0.153740404768,6,12,4.261790000000e-16
0.153740404768,6,14,3.218170000000e-16
