#3.9eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
1.72E+02,2.44E-10
1.72E+02,2.51E-10
1.72E+02,2.57E-10
1.72E+02,2.64E-10
1.72E+02,2.72E-10
1.72E+02,2.78E-10
1.72E+02,2.85E-10
1.73E+02,2.92E-10
1.73E+02,2.98E-10
1.73E+02,3.04E-10
1.73E+02,3.09E-10
1.73E+02,3.14E-10
1.73E+02,3.18E-10
1.73E+02,3.22E-10
1.74E+02,3.26E-10
1.74E+02,3.30E-10
1.74E+02,3.35E-10
1.74E+02,3.40E-10
1.74E+02,3.46E-10
1.74E+02,3.52E-10
1.74E+02,3.58E-10
1.75E+02,3.66E-10
1.75E+02,3.73E-10
1.75E+02,3.81E-10
1.75E+02,3.90E-10
1.75E+02,3.99E-10
1.75E+02,4.09E-10
1.75E+02,4.20E-10
1.75E+02,4.31E-10
1.75E+02,4.44E-10
1.76E+02,4.57E-10
1.76E+02,4.73E-10
1.76E+02,4.90E-10
1.76E+02,5.08E-10
1.76E+02,5.28E-10
1.76E+02,5.48E-10
1.76E+02,5.70E-10
1.76E+02,5.92E-10
1.76E+02,6.14E-10
1.77E+02,6.37E-10
1.77E+02,6.60E-10
1.77E+02,6.83E-10
1.77E+02,7.07E-10
1.77E+02,7.31E-10
1.77E+02,7.54E-10
1.77E+02,7.78E-10
1.77E+02,8.03E-10
1.77E+02,8.27E-10
1.77E+02,8.52E-10
1.78E+02,8.77E-10
1.78E+02,9.04E-10
1.78E+02,9.31E-10
1.78E+02,9.61E-10
1.78E+02,9.92E-10
1.78E+02,1.03E-09
1.78E+02,1.06E-09
1.78E+02,1.10E-09
1.78E+02,1.14E-09
1.78E+02,1.18E-09
1.78E+02,1.22E-09
1.78E+02,1.26E-09
1.78E+02,1.31E-09
1.78E+02,1.36E-09
1.79E+02,1.41E-09
1.79E+02,1.46E-09
1.79E+02,1.52E-09
1.79E+02,1.58E-09
1.79E+02,1.64E-09
1.79E+02,1.71E-09
1.79E+02,1.79E-09
1.79E+02,1.87E-09
1.79E+02,1.95E-09
1.79E+02,2.05E-09
1.79E+02,2.15E-09
1.79E+02,2.26E-09
1.79E+02,2.37E-09
1.79E+02,2.51E-09
1.79E+02,2.65E-09
1.79E+02,2.81E-09
1.79E+02,2.98E-09
1.79E+02,3.18E-09
1.80E+02,3.40E-09
1.80E+02,3.65E-09
1.80E+02,3.93E-09
1.80E+02,4.25E-09
1.80E+02,4.62E-09
1.80E+02,5.05E-09
1.80E+02,5.54E-09
1.80E+02,6.12E-09
1.80E+02,6.80E-09
1.80E+02,7.61E-09
1.80E+02,8.58E-09
1.80E+02,9.76E-09
1.80E+02,1.12E-08
1.80E+02,1.30E-08
1.80E+02,1.53E-08
1.80E+02,1.83E-08
1.80E+02,2.22E-08
1.80E+02,2.75E-08
1.80E+02,3.51E-08
1.80E+02,4.62E-08
1.80E+02,6.36E-08
1.80E+02,9.32E-08
1.80E+02,1.49E-07
1.80E+02,2.77E-07
1.80E+02,6.82E-07
1.80E+02,3.59E-06

