# converted from elastic_16_O_2-3Adp.dat: wavenumber(1/cm) to energy(eV)
# E[eV],sigma[cm^2]
0.0008099999269419563,4.408558e-14
0.0008200004923875782,4.3981459999999995e-14
0.0008299998179912158,4.387884e-14
0.0008400003834368378,4.377773e-14
0.0008499997090404754,4.367894e-14
0.0008600002744860974,4.358223e-14
0.0008699996000897348,4.3484269999999996e-14
0.0008800001655353569,4.338904e-14
0.0008899994911389944,4.3295409999999996e-14
0.0009000000565846163,4.320305e-14
0.0009100006220302383,4.311382e-14
0.0009199999476338759,4.302167e-14
0.0009300005130794979,4.2932850000000004e-14
0.0009399998386831355,4.284514e-14
0.0009500004041287574,4.2759039999999995e-14
0.000959999729732395,4.267325e-14
0.0009700002951780168,4.258865e-14
0.0009799996207816544,4.250498e-14
0.0009900001862272764,4.2422149999999995e-14
0.0009999995118309141,4.2340159999999996e-14
0.001100000206919196,4.15654e-14
0.0011999996621654936,4.086065e-14
0.0013000003572537758,4.021943e-14
0.0013999998125000734,3.9636e-14
0.0015000005075883553,3.910663e-14
0.001599999962834653,3.860573e-14
0.0016999994180809507,3.813904e-14
0.0018000001131692326,3.769839e-14
0.0018999995684155302,3.727939e-14
0.0020000002635038126,3.688278e-14
0.0020999997187501097,3.650626e-14
0.002200000413838392,3.614665e-14
0.0022999998690846897,3.5810090000000004e-14
0.0024000005641729716,3.547542e-14
0.002500000019419269,3.515946e-14
0.0025999994746655672,3.485241e-14
0.002700000169753849,3.455629e-14
0.0027999996250001468,3.4267509999999996e-14
0.002900000320088429,3.39931e-14
0.0029999997753347263,3.371881e-14
0.0031000004704230086,3.3454969999999994e-14
0.003199999925669306,3.3197919999999996e-14
0.003300000620757588,3.295001e-14
0.0034000000760038857,3.270747e-14
0.0034999995312501833,3.2473270000000004e-14
0.0036000002263384652,3.2243579999999996e-14
0.0036999996815847633,3.202139e-14
0.0038000003766730447,3.180306e-14
0.003899999831919343,3.158986e-14
0.004000000527007625,3.13836e-14
0.004099999982253923,3.118042e-14
0.0041999994375002195,3.0983839999999994e-14
0.004300000132588503,3.0790199999999996e-14
0.0043999995878348,3.0601229999999997e-14
0.004500000282923082,3.041883e-14
0.004599999738169379,3.023905e-14
0.004700000433257662,3.006367e-14
0.004799999888503959,2.989835e-14
0.004900000583592241,2.973084e-14
0.005000000038838538,2.9568759999999997e-14
0.0050999994940848364,2.940957e-14
0.005200000189173118,2.9254619999999997e-14
0.005299999644419416,2.9105759999999995e-14
0.005400000339507698,2.8958569999999996e-14
